Rank,Country name,Happiness score,upperwhisker,lowerwhisker,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Dystopia
142,Haiti,3.720799923,3.919667482,3.521932364,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,1.619916916
143,Lesotho,3.652800083,3.813757181,3.491842985,7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,1.445513964
144,India,3.573299885,3.627596378,3.519003391,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.734130859
145,Malawi,3.538000107,3.675710678,3.400289536,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,1.552718282
146,Yemen,3.527400017,3.633549929,3.421250105,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,1.116472721
147,Botswana,3.478899956,3.597563744,3.360236168,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.257240534
148,Tanzania,3.476200104,3.600091219,3.352308989,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.718963385
149,Central African Republic,3.475899935,3.701658487,3.250141382,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,2.860197544
150,Rwanda,3.312299967,3.415053368,3.209546566,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.548444986
151,Zimbabwe,3.299200058,3.414201975,3.184198141,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.841031075
152,South Sudan,2.816600084,3.027516365,2.605683804,7.425359726,0.553707123,51,0.451313615,0.016518548,1.378751278
153,Afghanistan,2.566900015,2.628270388,2.505529642,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,1.507235646
