Rank,Country name,Happiness score,upperwhisker,lowerwhisker,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Dystopia
140,Burundi,3.775,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,2.876
141,Yemen,3.658,3.794,3.521,7.578,0.832,57.122,0.602,-0.147,1.776
142,Tanzania,3.623,3.762,3.485,7.876,0.702,57.999,0.833,0.183,1.263
143,Haiti,3.615,3.953,3.276,7.477,0.54,55.7,0.593,0.422,2.06
144,Malawi,3.6,3.781,3.419,6.958,0.537,57.948,0.78,0.038,2.19
145,Lesotho,3.512,3.748,3.276,7.926,0.787,48.7,0.715,-0.131,1.8
146,Botswana,3.467,3.611,3.322,9.782,0.784,59.269,0.824,-0.246,0.648
147,Rwanda,3.415,3.548,3.282,7.676,0.552,61.4,0.897,0.061,1.095
148,Zimbabwe,3.145,3.259,3.03,7.943,0.75,56.201,0.677,-0.047,1.205
149,Afghanistan,2.523,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,1.895
